time,com_x,com_y,com_z,i_xx,i_yy,i_zz,i_xy,i_xz,i_yz,thrust_x,thrust_y,thrust_z,slosh_x,slosh_y,slosh_z,nitrous_m_dot,valve_angle,chamber_pressure,of_ratio,isp,cstar,port_d,fuel_mass,nitrous_mass,n2_tank_mass,n2o_tank_mass,wind_x,wind_y,wind_z,aero_drag_x,aero_drag_y,aero_drag_z,aero_moment_x,aero_moment_y,aero_moment_z,m2_pt_bar,o_pt_bar,oa_pt_bar
0,-0.016079118678017028,-0.008039559339008514,0.3487070605908864,63.57920021503873,63.64189673062146,3.7394941926378547,0.30820232294485794,1.8253995640531406,0.9026997820265703,0,0,784.1981568178779,0,0,0,0.324,11.478836219883881,28.08966478003178,6.997828358607436,2117.7369464800795,1411.594844586648,0.05,3.0211534020815267,15.99676,4.2624669265169315,0.737210824720085,0,0,0,-0,-0,-0,0,0,0,0,0,0
0.01,-0.016079981943398165,-0.008039990971699083,0.3277987652192046,61.206817391496095,61.269534082056886,3.73959832894159,0.30818887295947267,1.7722854960099086,0.8761427480049543,0,0,784.1981568178779,0.00008986551695893557,0.00004531819460408397,0,0.324,11.478836219883881,28.08966478003178,6.997828358607436,2117.7369464800795,1411.594844586648,0.05,3.0211534020815267,15.99352,4.2618219332701965,0.7375335692038372,0,0,0,0.00000000000000000008760386295768057,0.00000000000000000002227831309961525,-0.00000000033072970838362545,0,0,0,28.09168629074763,125.48007636701388,64.9977159263917
0.02,-0.016079985691078293,-0.008039993611266139,0.3277843748294162,61.20214528405366,61.26485927770546,3.7395938447118695,0.30819066426217834,1.7721278902479665,0.8760639732345674,0,0,784.1981568178779,0.0002609739258260808,0.00013162132660906692,0,0.324,11.478836219883881,28.08966478003178,6.997828358607436,2117.7369464800795,1411.594844586648,0.05,3.0211534020815267,15.99028,4.261176940023461,0.7378563136875894,0,0,0,-0.0000000000003457861442346752,-0.00000000000008793590308635861,-0.0000000014402512011563644,0,0,0,28.085293552186332,125.49025227718471,65.00236527930826
0.03,-0.016080174869112323,-0.008040089791313671,0.32776998706017163,61.19747414469321,61.26018688357279,3.7395917754881514,0.30819148698741894,1.771977100254901,0.8759886366348126,0,0,784.1981568178779,0.0005018986574015317,0.00025314505640855207,0,0.324,11.478836219883881,28.08966478003178,6.997828358607436,2117.7369464800795,1411.594844586648,0.05,3.0211534020815267,15.98704,4.260531946776726,0.7381790581713414,0,0,0,-0.000000000005639499603602685,-0.0000000000014344013906516935,-0.0000000035157964061209234,0,0,0,28.083808942285337,125.48339699411758,64.99866725933555
0.04,-0.016080549518663393,-0.008040279532665229,0.32775560191871184,61.19280397399114,61.25551690055141,3.739592121802581,0.30819134092118233,1.7718331248625006,0.8759167376183847,0,0,784.1981568178779,0.0008023266549633474,0.00040468670413384896,0,0.324,11.478836219883881,28.08966478003178,6.997828358607436,2117.7369464800795,1411.594844586648,0.05,3.0211534020815267,15.9838,4.25988695352999,0.7385018026550936,0,0,0,-0.00000000003561576981220831,-0.000000000009059716505254686,-0.0000000067595819044975925,0,0,0,28.086344528549724,125.4856322066148,65.00114349475959
0.05,-0.016081109673424486,-0.008040562852351968,0.32774121941579043,61.188134772801796,61.25084932987174,3.7395948842880644,0.30819022580891015,1.771695962646552,0.875848275467872,0,0,784.1981568178779,0.0011530015030211027,0.0005815765526300038,0,0.324,11.478836219883881,28.08966478003178,6.997828358607436,2117.7369464800795,1411.594844586648,0.05,3.0211534020815267,15.98056,4.259241960283255,0.7388245471388458,0,0,0,-0.00000000014337251612851732,-0.000000000036472531829698665,-0.00000001138881985156131,0,0,0,28.09774340005763,125.48108867348395,64.99695085970134
0.060000000000000005,-0.016081855359610014,-0.00804093976360769,0.3277268395656745,61.183466542257435,61.24618417310176,3.7396000636781874,0.3081881413555328,1.7715656119267322,0.8757832493356759,0,0,784.1981568178779,0.0015456610636395895,0.0007796463809730356,0,0.324,11.478836219883881,28.08966478003178,6.997828358607436,2117.7369464800795,1411.594844586648,0.05,3.0211534020815267,15.97732,4.258596967036519,0.7391472916225978,0,0,0,-0.00000000044089385684214097,-0.00000000011216403383656076,-0.000000017635732221140547,0,0,0,28.100724328619954,125.4876344818162,64.9959842617716
0.07,-0.016082786595213686,-0.008041410275493831,0.3277124623861443,61.178799283766054,61.24152143213919,3.739607660797533,0.30818508722935445,1.7714420707395875,0.8757216582303597,0,0,784.1981568178779,0.001972971673043057,0.0009951962638385966,0,0.324,11.478836219883881,28.08966478003178,6.997828358607436,2117.7369464800795,1411.594844586648,0.05,3.0211534020815267,15.97408,4.257951973789784,0.73947003610635,0,0,0,-0.0000000011318107391110003,-0.00000000028794388576250277,-0.000000025747568893801992,0,0,0,28.08552142006304,125.48489844042832,64.99635868955627
0.08,-0.016083903390224377,-0.008041974393007703,0.32769808789849275,61.17413299901168,61.23686110921344,3.739617676564435,0.30818106306095067,1.7713253368466844,0.8756635010207345,0,0,784.1981568178779,0.00242846060494341,0.001224960497373851,0,0.324,11.478836219883881,28.08966478003178,6.997828358607436,2117.7369464800795,1411.594844586648,0.05,3.0211534020815267,15.97084,4.257306980543048,0.7397927805901022,0,0,0,-0.0000000025513524886464947,-0.0000000006491059592981608,-0.00000003598663010721053,0,0,0,28.090194539565637,125.48368340213152,64.99884508594457
0.09,-0.01608520574630326,-0.008042632116919069,0.3276837161275228,61.16946768995324,61.232203206881884,3.7396301119866697,0.30817606844489875,1.7712154077229876,0.8756087764299777,0,0,784.1981568178779,0.002906448201356174,0.0014660733580396552,0,0.324,11.478836219883881,28.08966478003178,6.997828358607436,2117.7369464800795,1411.594844586648,0.05,3.0211534020815267,15.967600000000001,4.256661987296313,0.7401155250738543,0,0,0,-0.000000005213448930277043,-0.0000000013264135450155716,-0.000000048630293785818,0,0,0,28.097390568540394,125.47973925538462,64.99829361639313
